Country,Name,Club,Position,Games,Goals
Ghana,Lisa Lloyd,Bechem United,defender,56,20
Cuba,Paul Pierce,FC Santiago,midfielder,67,70
Libya,Gabriel Mitchell,Al Hilal,forward,59,9
United Arab Emirates,Lee Clay,Al Wasl,midfielder,79,96
Dominica,Kathleen Reilly,South East FC,defender,69,73
Sudan,Glenn Russell,Al Hilal Omdurman,forward,79,66
Eswatini,Robert Miller,Royal Leopards,midfielder,75,8
Vietnam,Angela Ellison,Hong Linh Ha Tinh,goalkeeper,74,-51
Qatar,Dr. Stephanie Lang,Al Duhail,forward,83,44
Chad,Karen Potter,Postel 2000,midfielder,69,53
Bhutan,Marc Bell,Thimphu City,forward,58,11
Libya,Connor Sawyer,Al Tahaddy,forward,60,20
Haiti,Noah Williams,FICA,goalkeeper,61,-3
Ghana,Valerie Miller,Medeama,forward,70,53
Marshall Islands,Jennifer Porter,Ebeye United,goalkeeper,48,-17
Turkmenistan,Judith Williams,Merv,goalkeeper,63,-18
Venezuela,Billy Green,Mineros de Guayana,forward,71,58
Malaysia,Tina Graham,Sabah,defender,70,50
Denmark,Natalie Neal,FC Copenhagen,goalkeeper,65,-52
El Salvador,Christina Bell,Jocoro,defender,62,65
Pakistan,Brett Cox,Sui Southern Gas,forward,66,53
Uruguay,Corey Haley,Liverpool Montevideo,defender,58,76
Kyrgyzstan,Jennifer Bishop,Neftchi Kochkor-Ata,midfielder,49,26
Poland,Adam Collins MD,Rakow Czestochowa,midfielder,64,53
Mongolia,Jerry Williams,Deren,goalkeeper,67,-9
Saudi Arabia,Stephen Martinez,Al Ittihad,goalkeeper,80,-70
United Kingdom,Beth Watson,Manchester United,defender,74,36
Japan,Debbie Banks,Yokohama F. Marinos,forward,44,58
Croatia,William Lopez,Rijeka,midfielder,69,34
Bahamas,Mr. Christopher Simon,United FC,defender,59,37
Togo,Leah Wood,Sara Sport,forward,40,51
Haiti,Bobby Morrison,Don Bosco,goalkeeper,57,-54
Afghanistan,Natalie Campbell,Ariana FC,defender,65,45
Tajikistan,Monica Taylor,Khatlon,goalkeeper,76,-36
United Arab Emirates,Mark Moss,Shabab Al Ahli,defender,52,72
Mongolia,Ann Hall,Ulaanbaatar City,forward,81,41
Saint Kitts and Nevis,Melissa Rodriguez,Newtown United,goalkeeper,58,-65
Venezuela,Blake Richardson,Estudiantes de Merida,forward,54,56
Cape Verde,William Gray,Academica do Sal,defender,68,47
Burkina Faso,Jonathon White,RC Bobo,midfielder,75,35
Malawi,Michelle Bailey,MAFCO,midfielder,56,46
Belize,Cynthia Brown,Bandits Sport,defender,54,82
Australia,Tracey Norton,Sydney FC,midfielder,79,81
Uruguay,Mr. Shawn Stephens,Cerro,midfielder,61,59
Nepal,Lisa Nunez PhD,Sankata,forward,66,60
Uganda,Victoria Rice,SC Villa,midfielder,48,81
Bhutan,Laura Harris,Terton FC,midfielder,43,105
Sao Tome and Principe,Karen Martin,Trindade,forward,64,56
Yemen,Robert Wiggins,Al Tilal,goalkeeper,56,-24
Malaysia,Joseph Lee PhD,Johor Darul Ta'zim,goalkeeper,65,-72
Qatar,Victor May,Al Gharafa,midfielder,62,48
North Macedonia,Nicholas Thompson,Makedonija GP,goalkeeper,68,-85
Portugal,Yvonne Clark,Vitoria Guimaraes,midfielder,47,32
Jamaica,Michael Cohen,Tivoli Gardens,midfielder,71,90
Spain,Herbert Castillo,Barcelona,defender,66,86
Korea (North),Lisa Randall,Pyongyang City,forward,85,75
Niger,Donna Pacheco,USGN,defender,63,30
Belarus,Amy Russo,Torpedo Zhodino,goalkeeper,69,-38
Poland,David Reid,Rakow Czestochowa,forward,70,73
South Africa,Devin Walker MD,Orlando Pirates,forward,75,45
Sri Lanka,Stephanie Gregory,Java Lane,forward,52,14
Bolivia,Claudia Herman,The Strongest,midfielder,60,13
Germany,Leah Ballard,Wolfsburg,goalkeeper,37,-49
Papua New Guinea,Tammy Mccormick,Morobe Wawens,midfielder,45,40
Marshall Islands,Christine Kim,Jaluit FC,midfielder,60,67
Portugal,Christopher Hamilton,Famalicao,defender,63,103
Iran,Brandon Aguilar,Foolad,midfielder,69,4
Saudi Arabia,Sean Obrien,Al Ahli,goalkeeper,55,-53
Marshall Islands,Lori Sullivan,Utrik FC,midfielder,60,68
Armenia,Megan Campbell,Shirak,forward,58,64
Eswatini,Eric Lee,Royal Leopards,midfielder,63,26
India,Jonathon Shelton,Bengaluru FC,goalkeeper,54,-69
Poland,Philip Middleton,Piast Gliwice,goalkeeper,76,-62
Burkina Faso,Paula Chen,RC Bobo,midfielder,69,48
Sri Lanka,Mrs. Monica Perez,Colombo FC,defender,55,1
Brazil,Anthony Warner,Palmeiras,defender,50,33
Hungary,Brittany Alvarado,Kisvarda,forward,43,47
Bahamas,Larry Jenkins,Freeport FC,midfielder,59,72
Ukraine,Don Walters,Zorya Luhansk,forward,60,56
Saint Vincent and the Grenadines,Jose Terry,Layou,goalkeeper,69,-24
Monaco,Shane Romero,Stade Monégasque,forward,44,31
Qatar,Sarah Reilly,Al Gharafa,goalkeeper,63,-40
Dominica,Jeremy Strickland,Kubuli Strikers,defender,49,106
Nigeria,Adam Atkinson,Lobi Stars,midfielder,58,81
Nigeria,Nancy Duncan,Lobi Stars,goalkeeper,67,-1
Korea (South),Melissa Hogan,Pohang Steelers,goalkeeper,90,-59
Cape Verde,Christopher Steele,Batuque FC,midfielder,73,48
Monaco,Donna Hess,Jeunesse d'Antibes,midfielder,60,76
Indonesia,Anne Smith,Arema FC,forward,66,115
Bhutan,Anthony Mccormick,Paro FC,forward,61,67
Togo,Anthony Richards,Dynamic Togolais,defender,76,54
Monaco,Jeffrey Baker,Monaco II,forward,79,16
Jamaica,Tasha Garcia,Tivoli Gardens,defender,54,61
Guyana,Thomas Harvey,Western Tigers,forward,65,62
Colombia,Cheryl Bailey,Once Caldas,defender,75,66
Turkmenistan,Michelle Walters,Nebitchi,defender,79,78
Angola,David Gibson,Primeiro de Agosto,midfielder,51,41
Switzerland,Sara Reed,Luzern,midfielder,69,62
Brunei,Herbert Harvey,Tabuan Muda,defender,59,62
Haiti,Gary Wolfe,Cavaly,defender,69,12
Albania,Zachary Juarez,Kukesi,defender,67,28
Egypt,Debbie Pham,ENPPI,defender,81,29
Greece,Christine Hall,Panathinaikos,defender,47,74
Saint Kitts and Nevis,Brandon Hampton,SPD United,midfielder,60,53
Timor-Leste,Jill Reyes,Boavista Timor,goalkeeper,56,-80
Ireland,Gregory Lewis,Sligo Rovers,goalkeeper,63,-87
Cape Verde,Mercedes Smith,Vitoria FC,goalkeeper,61,-57
Bulgaria,Alexa Martin,Ludogorets,forward,72,28
Marshall Islands,Paul James,Arno FC,midfielder,66,53
Liechtenstein,Brittany Hatfield,Schaan,defender,56,21
Barbados,Colton Lopez,Paradise SC,goalkeeper,52,-41
Afghanistan,Laura Clarke,Maiwand FC,defender,64,17
Kazakhstan,Steven Morrison,Kairat,midfielder,57,100
Cyprus,Christine Gaines,APOEL,forward,55,82
North Macedonia,Tammy Kent,Shkendija,midfielder,68,42
Botswana,Gabriella Robbins,BDF XI,midfielder,42,78
Timor-Leste,Eddie Webb,DIT FC,forward,68,60
Azerbaijan,Kim Smith,Kapaz,forward,64,68
Palau,Lynn Mendez,New Stars,goalkeeper,60,-71
Burundi,Kristina Parrish,Bujumbura City,midfielder,66,43
Paraguay,Christine Hinton,Olimpia,midfielder,77,71
Bulgaria,Carl Weeks,Ludogorets,goalkeeper,72,-48
Lebanon,Eric Dominguez,Al Ansar,goalkeeper,35,-52
Solomon Islands,Juan Johns,Solomon Warriors,forward,70,30
Latvia,Rebekah Beard,Valmiera,midfielder,76,43
Netherlands,Jill Cox,Twente,midfielder,49,74
Guyana,Robert Wallace,Fruta Conquerors,goalkeeper,40,-10
Mauritania,Kayla Taylor,Nouakchott Kings,midfielder,49,61
Botswana,Megan Alvarez,Township Rollers,forward,70,45
Solomon Islands,Christian Donovan,Henderson Eels,defender,54,90
Bangladesh,Lawrence Gonzalez,Sheikh Russel,defender,50,76
Mauritius,Jessica Vazquez,La Cure,forward,53,68
Afghanistan,Seth Hernandez,Simorgh Alborz,goalkeeper,68,-86
Colombia,Kelsey Taylor,Atletico Nacional,midfielder,53,4
Sweden,Jacqueline Paul,Norrkoping,defender,62,62
Mauritania,Christine Hensley,Nouakchott Kings,goalkeeper,72,-81
Cambodia,Madison Gibson,ISI Dangkor Senchey,midfielder,66,63
Slovakia,Thomas Collins,Zemplin Michalovce,defender,72,42
Pakistan,Lauren Morgan,Sui Southern Gas,defender,77,21
Jamaica,Brandon Mcfarland,Tivoli Gardens,defender,43,70
Czech Republic,Ralph Johnson,Banik Ostrava,forward,50,52
Ukraine,Kelly Butler,Zorya Luhansk,forward,63,69
Equatorial Guinea,Jonathan Wang,Estrella Roja,defender,57,1
Somalia,Adrian Skinner,Elman FC,midfielder,41,32
Papua New Guinea,Kelly Lopez,Lae City,defender,59,32
Equatorial Guinea,Sara Roth,Dragón FC,defender,61,60
France,Shari Adkins,Rennes,midfielder,38,49
Comoros,Sandra Jones,Ajax de Hahaya,goalkeeper,50,-59
Netherlands,Timothy Hughes,FC Utrecht,midfielder,69,22
Congo,Mike Marquez,JS Talangai,defender,66,56
Ghana,Bridget Morales,Medeama,goalkeeper,66,-60
Mauritania,Brittany Keller,Gendrim,midfielder,65,81
Benin,Kimberly Mason,Requins de l'Atlantique,defender,70,46
Estonia,Steven Cantrell,Narva Trans,forward,40,42
Grenada,Kristie Carter,Paradise FC International,defender,59,73
Armenia,Timothy Benson IV,Pyunik,forward,63,26
Dominica,Christopher Odom,Dublanc FC,defender,37,99
Montenegro,Erica Colon,Sutjeska,midfielder,56,14
Bhutan,Ashley West,Paro FC,goalkeeper,61,-44
Serbia,Gary Neal,Cukaricki,defender,56,70
Slovakia,Gerald Rivera,Zemplin Michalovce,midfielder,65,66
Czech Republic,Lisa Phillips,Slovan Liberec,midfielder,63,44
Romania,Amanda Vasquez,FCSB,midfielder,35,57
North Macedonia,John Baker,Makedonija GP,defender,58,63
Haiti,Maria Weiss,FICA,midfielder,58,32
Venezuela,Angela James,Deportivo La Guaira,midfielder,51,62
Solomon Islands,Nathan Price,Henderson Eels,forward,62,19
Fiji,Diana Gibson,Labasa FC,goalkeeper,45,-34
Panama,Ryan Johnson,Alianza,midfielder,50,32
Belarus,Juan Fernandez,Neman Grodno,forward,43,69
Philippines,Christina Wilson,Stallion Laguna,defender,39,75
Namibia,Meredith Smith,African Stars,midfielder,52,62
Belgium,Michele Stone,Genk,forward,53,75
Chad,Tammy Shields,Renaissance,goalkeeper,50,-34
Moldova,Sarah Larson,Sheriff Tiraspol,midfielder,71,51
Liechtenstein,Todd Knox,Ruggell,goalkeeper,39,-28
Mauritius,Shannon Levy,La Cure,forward,69,1
Uruguay,Brian Johnston,Nacional,midfielder,44,40
Nepal,Kenneth Becker,Jawalakhel,midfielder,47,61
Syria,Mariah Jackson,Al Karamah,forward,50,77
Eritrea,Benjamin Reese,Adulis Club,goalkeeper,64,-44
Saint Lucia,Jordan Goodman,Marchand,defender,46,54
Sierra Leone,Philip Wiggins MD,East End Lions,midfielder,46,61
Cuba,Alicia Barnett,FC Guantanamo,midfielder,70,33
San Marino,Aaron Smith,Pennarossa,defender,67,47
Colombia,David Wyatt,Millonarios,goalkeeper,82,-39
Philippines,Oscar Mason,Ceres-Negros,goalkeeper,70,-38
Latvia,Michael Ellis,Metta,forward,67,4
Brazil,Timothy Crawford,Sao Paulo,goalkeeper,71,-29
Cyprus,Gregory Hudson,AEK Larnaca,goalkeeper,54,-39
Tonga,Kristen Newton,Lotoha'apai,defender,69,69
Denmark,Isaiah Moreno,Aarhus GF,defender,73,89
Gabon,Timothy Lane,Cercle Mbéri Sportif,forward,76,26
Georgia,Wendy Powell,Samgurali,midfielder,47,24
El Salvador,David Young,Aguila,midfielder,62,42
Kiribati,Jon Brown,Betio,goalkeeper,53,-49
Egypt,Marie Brooks,ENPPI,goalkeeper,68,-35
Pakistan,Joshua Phillips,Sui Southern Gas,forward,67,46
Slovenia,Lauren Kelley,Celje,defender,64,73
Liberia,Hannah Frazier,Nimba United,forward,49,79
Romania,Robert Walsh,Rapid Bucuresti,forward,44,65
Djibouti,Veronica Ingram,CF Garde Republicaine,midfielder,78,51
Guyana,Mary Henderson,Ann's Grove United,defender,52,69
Egypt,Brian Blevins DVM,Pyramids FC,defender,55,37
Armenia,Tricia Scott,Noah,defender,69,45
Uruguay,Vicki Gutierrez,Montevideo Wanderers,goalkeeper,57,-70
Suriname,Michael Baker,Robinhood,goalkeeper,74,-66
Netherlands,Zachary Valdez,Feyenoord,midfielder,53,37
Guinea-Bissau,Heather Mckinney,Os Balantas,forward,60,10
Palau,Benjamin Wiggins,Team Friendship,forward,71,55
Zambia,Mary Mckay,Green Buffaloes,forward,51,46
Portugal,Parker Duran,Famalicao,goalkeeper,71,-63
Bulgaria,Brandon Davis,Cherno More,forward,56,46
Ethiopia,Jennifer Wilson,Adama City,goalkeeper,46,-53
Sao Tome and Principe,Michael Hernandez,FC Neves,forward,63,36
Cuba,Caitlin Guerra,FC Villa Clara,midfielder,60,62
Iceland,Megan Beck,KA,midfielder,73,44
Guinea,Timothy Lam,Fello Star,defender,52,38
Uruguay,Nicole Lopez,Boston River,midfielder,51,18
Dominican Republic,Devin Watson,Delfines del Este,forward,58,28
Laos,Samantha Jackson,Vientiane FC,defender,61,58
Lebanon,Martin Allen,Al Ahed,midfielder,79,47
Spain,Amber Rich,Barcelona,forward,44,51
Bangladesh,Daniel Becker,Mohammedan SC,defender,70,21
Korea (North),Kristen Daniels,Sobaeksu,goalkeeper,62,-44
Turkey,Lisa Walker,Trabzonspor,goalkeeper,63,-54
Paraguay,Taylor Wilson,Guarani,midfielder,61,40
Bhutan,Michael Moore,High Quality FC,forward,54,37
Seychelles,Gabrielle Moore,St Louis Suns United,forward,55,12
Central African Republic,Zachary Wise,ASDR,midfielder,53,46
Denmark,Isaac Blanchard,FC Copenhagen,forward,56,62
United States,Crystal Roberson,Seattle Sounders,forward,64,36
Laos,Allen Sutton,Vientiane FC,midfielder,80,48
Hungary,Jessica Anderson,Fehervar,defender,50,33
Canada,Valerie Barnett,Forge FC,goalkeeper,42,-66
Guatemala,Brandon Sullivan,Malacateco,midfielder,79,36
Oman,Erika Carroll,Al Nahda,goalkeeper,70,-32
Liechtenstein,Maria Waller,Balzers,forward,60,120
Germany,Jeffrey Collier,Borussia Monchengladbach,goalkeeper,40,-71
Pakistan,Anne Shelton,Sui Southern Gas,goalkeeper,53,-43
Cyprus,Bradley Palmer,Apollon Limassol,goalkeeper,69,-43
Cape Verde,Rebecca Greene,CS Mindelense,forward,89,24
United Arab Emirates,Cindy Martinez DDS,Al Ain,midfielder,55,5
Venezuela,James Kelly,Deportivo Tachira,defender,64,51
Costa Rica,Jimmy Moore,Alajuelense,midfielder,63,42
Gabon,Robin Snyder,Cercle Mbéri Sportif,midfielder,75,62
Togo,Matthew Powers,AS Togo-Port,midfielder,62,49
Kuwait,John Medina,Al Naser,defender,60,73
Romania,Samantha Peterson,Farul Constanta,forward,55,56
Marshall Islands,Eric Barajas,Arno FC,forward,65,53
Chile,Richard Harris,Colo-Colo,defender,68,89
Mexico,Ryan Munoz,Cruz Azul,midfielder,72,14
Madagascar,Nicholas Gentry,Ajesaia,defender,47,66
Maldives,Beth Johnson,New Radiant,goalkeeper,48,-64
Bosnia and Herzegovina,Claudia Taylor,Siroki Brijeg,goalkeeper,70,-27
Barbados,Tony Gamble,Bridgetown FC,defender,61,54
Germany,Patrick Martin MD,RB Leipzig,defender,70,54
Belarus,Kimberly Hartman,Isloch,goalkeeper,57,-20
Costa Rica,Phillip Bender,Perez Zeledon,defender,57,57
Central African Republic,Thomas Daniels,Tempete Mocaf,goalkeeper,62,-28
Comoros,Jennifer Harvey,Steal Nouvel,midfielder,57,55
Brunei,Michael George,Lun Bawang,goalkeeper,60,-38
Costa Rica,Alyssa Lopez,Cartagines,goalkeeper,67,-18
Panama,Sarah Lloyd,Tauro,midfielder,56,59
Mauritius,Amanda Graham,Quatre Bornes,forward,71,53
Armenia,Anna Carney,Shirak,goalkeeper,49,-27
Portugal,Christopher Carrillo,Vitoria Guimaraes,goalkeeper,52,-71
Laos,Frederick White,Lao Toyota,defender,59,85
Saint Vincent and the Grenadines,Lauren Fuller,Jebelle,midfielder,68,42
Panama,Jessica Scott,San Francisco,midfielder,59,47
Bangladesh,Courtney Wallace,Rahmatganj,defender,53,79
Belize,Lisa Shepherd,Belmopan Bandits,defender,54,25
Italy,Tristan Newton,Fiorentina,forward,52,52
Cuba,Michael Scott,FC Pinar del Rio,midfielder,45,56
Cambodia,Travis Ferguson,Boeung Ket,midfielder,47,44
Greece,Lisa Hall,Olympiacos,midfielder,43,16
Guatemala,Melissa Leon,Santa Lucia,forward,64,54
Ecuador,Douglas Allen,Delfin,forward,65,51
Slovenia,John Gallagher,Maribor,forward,66,86
Congo,Stacy Collier,CARA Brazzaville,forward,42,21
Papua New Guinea,Shawn Villanueva,Madang,defender,46,42
Malta,Gregory Morales,Hibernians,defender,61,48
Saint Lucia,Kari Charles,VSADC,forward,64,53
Sweden,Wayne Richardson,Norrkoping,midfielder,47,53
Fiji,Shelley Phillips,Labasa FC,midfielder,62,74
Colombia,Tiffany Lawson,Millonarios,defender,59,47
Kiribati,Samuel Miller,Tofaga,midfielder,51,20
Laos,Keith Taylor,Young Elephants,goalkeeper,63,-48
Solomon Islands,Amber Johnson,Laugu United,defender,57,40
Korea (North),Laura Melton,Rimyongsu,forward,58,9
Ecuador,Jason Coleman,Emelec,goalkeeper,65,-50
Solomon Islands,Patrick Perry,Marist,midfielder,55,52
Madagascar,Diana Williams,Fosa Juniors,forward,61,56
Bhutan,Heather Smith,Transport United,midfielder,45,8
Niger,Brett Mitchell,USGN,forward,46,27
Denmark,Jennifer Wilson,Nordsjaelland,forward,50,75
Mali,Veronica Baker,AS Bakaridjan,midfielder,65,7
Burkina Faso,Susan Williamson DDS,ASFA Yennega,goalkeeper,60,-55
Ecuador,Juan Mack,LDU Quito,defender,69,48
Guyana,Rebecca Ford,Western Tigers,midfielder,46,57
Tuvalu,Jeremy Brown,Ha'apai,midfielder,58,72
Albania,Jean White,Vllaznia,midfielder,58,54
Russia,Jessica Davis,CSKA Moscow,defender,53,42
Tajikistan,Steven Thomas,CSKA Pamir,goalkeeper,55,-47
Malaysia,Joshua Mendez,Kedah,midfielder,64,34
Sierra Leone,Jennifer Johnson,Bo Rangers,forward,54,76
Serbia,Jennifer Rollins,Partizan,goalkeeper,58,-54
Haiti,Kristen Mcclure,Racing Club Haitien,midfielder,72,15
Cape Verde,Diana Hayes,Fogo 1876,midfielder,61,1
Cuba,Vicki Page MD,FC Camaguey,midfielder,70,46
Paraguay,Mercedes King,Sol de America,defender,73,33
Burkina Faso,Megan Spencer,Salitas FC,forward,60,81
New Zealand,Derek Mcneil,Eastern Suburbs,forward,68,67
Austria,Morgan Carroll,WSG Tirol,forward,54,26
France,Pamela Welch,Nice,defender,57,6
Portugal,Steven Carney,Braga,defender,68,59
Madagascar,Diane Henderson,Ajesaia,defender,73,57
Nauru,Linda Jefferson,Meneng,goalkeeper,65,-49
Sierra Leone,Lauren Sullivan,FC Johansen,goalkeeper,74,-1
Bosnia and Herzegovina,Meghan Jensen,Zrinjski Mostar,goalkeeper,54,-58
Haiti,Christopher Palmer,Baltimore SC,midfielder,47,64
Saudi Arabia,James Watts,Al Taawoun,defender,52,50
Belize,Maria Taylor,Placencia Assassins,goalkeeper,68,-100
Fiji,Margaret White,Labasa FC,goalkeeper,58,-43
Vietnam,Edward Colon,Sai Gon FC,defender,71,1
Syria,Nathan Reed,Al Karamah,midfielder,57,61
San Marino,Steven Rodriguez,Folgoro,forward,36,47
Indonesia,Jessica Smith,Persebaya Surabaya,forward,58,70
Bahrain,Mary Guzman,Al-Muharraq,midfielder,46,19
Cameroon,Tracy Johns,Avion Academy,midfielder,41,30
Guinea-Bissau,Richard Miller,FC Cantchungo,midfielder,34,37
Belgium,Kenneth Ortiz,Club Brugge,defender,64,70
Ethiopia,Lisa Sims,Adama City,defender,58,41
Brunei,Douglas Floyd,Wijaya FC,midfielder,40,21
Vanuatu,Michelle Matthews,Tupuji Imere,midfielder,67,1
Micronesia,Jeremiah Chapman,Weno,goalkeeper,61,-15
Grenada,Stacy Newman,St. John's Sports,goalkeeper,55,-58
Samoa,Crystal Williams,Moataa,defender,83,29
Azerbaijan,Louis Higgins,Qarabag,defender,55,63
Jamaica,Thomas Booth,Cavalier,goalkeeper,61,-94
Tuvalu,Joseph Moore,Tofaga,goalkeeper,75,-17
India,Mark Page,Mumbai City,defender,63,116
Zimbabwe,Shari Jenkins,Chicken Inn,midfielder,76,33
Tajikistan,Patricia Cannon MD,Fayzkand,midfielder,53,19
Malta,Ashlee Fisher,Hibernians,midfielder,63,79
Malawi,Timothy Crane,Nyasa Big Bullets,defender,44,36
Maldives,Miguel Humphrey,New Radiant,forward,58,60
Bahamas,Jordan Hernandez,Freeport FC,midfielder,49,64
India,Jennifer Hanson,Kerala Blasters,goalkeeper,70,-51
Vanuatu,Stephanie Todd,Erakor Golden Star,goalkeeper,51,-1
Saint Vincent and the Grenadines,Kevin Brown,Jebelle,forward,55,71
Algeria,Raymond Burnett,MC Oran,goalkeeper,59,-48
Palau,Caleb Crawford,New Stars,goalkeeper,48,-20
South Sudan,Michael Sanchez,Atlabara,forward,45,39
Moldova,Monica Martin,Zimbru,forward,65,50
Armenia,Mrs. Patricia Young DDS,Ararat Yerevan,defender,59,73
Afghanistan,Heather Jensen,Simorgh Alborz,goalkeeper,50,-57
Iceland,Yvette Weber,Breidablik,defender,47,40
Central African Republic,Joseph Torres,Olympic Real,defender,57,31
United Kingdom,Ashley Wilson,Chelsea,forward,69,102
Pakistan,Julie Odonnell,Pakistan Air Force,midfielder,46,52
Iraq,Amanda Prince,Al Najaf,midfielder,43,47
Antigua and Barbuda,Jasmine Wilson,Parham FC,midfielder,77,79
Syria,Angela Smith,Tishreen,goalkeeper,54,-35
Antigua and Barbuda,Linda Robinson,Empire FC,defender,54,40
Maldives,Melanie Jordan,Green Streets,forward,47,70
Austria,Ashley Madden,Rapid Wien,midfielder,59,40
Malaysia,Angela Flores,Terengganu,forward,65,62
Andorra,Caleb Riley,FC Santa Coloma,defender,76,75
Botswana,Kimberly Stokes,Extension Gunners,goalkeeper,73,-60
Gabon,Jacob Black,Cercle Mbéri Sportif,defender,69,63
Fiji,Connie Lang,Lautoka FC,forward,60,41
Eswatini,Shelly Rodgers,Mbabane Swallows,defender,81,32
Rwanda,Veronica Hill MD,Rayon Sports,defender,51,65
Lithuania,Patrick Williams,Zalgiris Vilnius,midfielder,64,69
Saint Lucia,Diana Williamson,Gros Islet,forward,51,48
Central African Republic,Manuel Martinez,ASDR,midfielder,47,54
Dominican Republic,Mark Ochoa,Delfines del Este,midfielder,65,83
Kazakhstan,Lawrence Bennett,Shakhter Karagandy,goalkeeper,54,-40
Venezuela,Zachary Cole,Deportivo Tachira,goalkeeper,59,-68
Brazil,Rodney Davis,Corinthians,forward,57,77
Lithuania,Kristin Garcia,Panevezys,defender,67,73
North Macedonia,Dr. Kerry Arnold DDS,Vardar,defender,71,24
Cameroon,Elizabeth Miles,Union Douala,forward,51,65
Kazakhstan,Maria Cantrell,Shakhter Karagandy,midfielder,69,99
Timor-Leste,Laura White,Pontak,defender,51,30
South Sudan,Hector Travis,Al Hilal Wau,midfielder,53,42
South Sudan,Patricia Hansen,Al Rabita Juba,midfielder,66,64
Czech Republic,Charles Tran,Slovan Liberec,defender,73,21
Dominica,Mrs. Hayley Cox,Exodus FC,defender,48,55
Sierra Leone,John Obrien,FC Johansen,goalkeeper,65,-41
Denmark,Nicole Davis,Randers,goalkeeper,53,-60
Jamaica,Ronald Mack,Mount Pleasant,defender,67,64
Bosnia and Herzegovina,Laura Martinez,Zeljeznicar,defender,59,49
Kazakhstan,Timothy Hicks,Astana,midfielder,72,49
Mauritius,Mary Hebert,La Cure,midfielder,39,71
Honduras,Lorraine Sanchez,Platense,defender,58,80
Uruguay,Samuel Johnston,River Plate Montevideo,midfielder,70,43
Algeria,Paula Burton,MC Alger,defender,55,22
Monaco,Daniel Gonzales,Jeunesse d'Antibes,defender,79,85
Kyrgyzstan,Mary Franco,Neftchi Kochkor-Ata,midfielder,56,23
Togo,Richard Jimenez,Maranatha,midfielder,56,77
Albania,Jaime Osborn,Dinamo Tirana,defender,64,38
Costa Rica,Chelsea Miles,Alajuelense,forward,57,37
Djibouti,Gregory Diaz,AS Boreh,forward,61,85
Poland,Daniel Davis,Legia Warsaw,defender,70,52
Kenya,Lisa Browning,Kariobangi Sharks,goalkeeper,68,-80
Serbia,Dennis Moore,Radnicki Nis,goalkeeper,67,-37
Pakistan,Joshua Guerra DDS,Karachi Port Trust,midfielder,50,20
Sao Tome and Principe,Nicholas Fleming,Alianca Nacional,forward,61,80
Eritrea,Joshua Brown,Asmara Brewery,defender,53,53
Ethiopia,Daniel Smith,Bahir Dar Kenema,forward,55,18
Brunei,Kristina Fowler,Kasuka FC,defender,54,86
Comoros,Benjamin Miller,Fomboni FC,defender,68,44
Greece,Kelly Fowler,Olympiacos,forward,56,23
North Macedonia,Joseph Wade,Shkendija,defender,66,33
Uganda,Wanda Waller,Vipers,defender,62,72
Cuba,Reginald Chavez,FC Santiago,forward,48,31
Ireland,Kimberly Anderson,Derry City,forward,82,66
Kuwait,Tonya Mccoy,Al Kuwait,midfielder,65,56
Malaysia,Jason Castillo,Penang,goalkeeper,61,-25
Armenia,Ruben Chapman,Urartu,goalkeeper,54,-60
Venezuela,Jennifer Lopez,Deportivo La Guaira,goalkeeper,40,-50
Saint Kitts and Nevis,Jonathan Blanchard,SPD United,forward,65,82
Cameroon,Raymond Woods,Bamboutos,midfielder,65,33
Angola,John Brown,Sagrada Esperanca,forward,84,1
Grenada,Kyle Murphy,Chantimelle FC,defender,43,22
Myanmar,Kimberly Thompson,Yangon United,goalkeeper,57,-48
Netherlands,Matthew Martinez,FC Utrecht,midfielder,70,40
Saint Kitts and Nevis,Elizabeth Boyd,Newtown United,goalkeeper,67,-26
Solomon Islands,Rachel Brown,Kossa,defender,59,67
Senegal,Bailey Williams,ASC Linguere,defender,60,37
Germany,Lauren Hall,Wolfsburg,forward,55,110
Korea (North),Jason Clark,Hwaebul,goalkeeper,74,-61
Mali,Marc Roman,Stade Malien,midfielder,47,32
Thailand,Kristin Campbell,Buriram United,forward,62,85
New Zealand,Michele Cook,Eastern Suburbs,goalkeeper,65,-73
Panama,Mr. Christopher Campbell,Independiente,defender,61,63
Honduras,Heather Decker,UPNFM,defender,51,83
Vanuatu,Brian Martin,Tafea,goalkeeper,56,-35
Nigeria,Oscar Sandoval,Enyimba,midfielder,53,25
Vietnam,Sara Anderson,Hai Phong,goalkeeper,55,-58
Poland,Carol Caldwell,Legia Warsaw,defender,62,10
Mozambique,Mark Nelson,UD Songo,goalkeeper,71,-49
Malawi,Zachary Johnson,Red Lions,goalkeeper,50,-77
Tanzania,Timothy Reed,Mbeya City,midfielder,67,41
Ghana,Kenneth Black,Hearts of Oak,forward,60,39
Philippines,Crystal Sexton,Ceres-Negros,forward,69,58
Afghanistan,Jesse Ramos,De Spinghar Bazan,defender,70,83
Sierra Leone,Michael Pace,Mighty Blackpool,midfielder,71,39
Switzerland,Jason Ortiz,St. Gallen,midfielder,65,115
Tonga,James King,Veitongo,forward,54,36
Belgium,Cynthia Gibson,Genk,forward,69,62
Grenada,Wayne Richardson,Hurricane FC,goalkeeper,42,-40
Latvia,Jeremy Martinez,Liepaja,forward,64,22
Slovakia,Douglas Mckenzie,DAC Dunajska Streda,goalkeeper,49,-52
